0.077,0.053,0.500,0.947,0.923,0.041,0.014,0.500,0.986,0.959,0.028,0.000,0.500,1.000,0.972,0.041,0.014,0.500,0.986,0.959,0.077,0.053,0.500,0.947,0.923
0.195,0.568,0.920,0.939,0.744,0.052,0.303,0.769,1.000,0.876,0.034,0.082,0.500,0.918,0.966,0.124,0.000,0.231,0.697,0.948,0.256,0.061,0.080,0.432,0.805
0.805,0.948,0.966,0.876,0.744,0.432,0.697,0.918,1.000,0.939,0.080,0.231,0.500,0.769,0.920,0.061,0.000,0.082,0.303,0.568,0.256,0.124,0.034,0.052,0.195
0.923,0.959,0.972,0.959,0.923,0.947,0.986,1.000,0.986,0.947,0.500,0.500,0.500,0.500,0.500,0.053,0.014,0.000,0.014,0.053,0.077,0.041,0.028,0.041,0.077
0.744,0.876,0.966,0.948,0.805,0.939,1.000,0.918,0.697,0.432,0.920,0.769,0.500,0.231,0.080,0.568,0.303,0.082,0.000,0.061,0.195,0.052,0.034,0.124,0.256
0.744,0.939,0.920,0.568,0.195,0.876,1.000,0.769,0.303,0.052,0.966,0.918,0.500,0.082,0.034,0.948,0.697,0.231,0.000,0.124,0.805,0.432,0.080,0.061,0.256
0.027,0.156,0.500,0.844,0.973,0.007,0.141,0.500,0.859,0.993,0.000,0.136,0.500,0.864,1.000,0.007,0.141,0.500,0.859,0.993,0.027,0.156,0.500,0.844,0.973
0.242,0.552,0.854,0.994,0.946,0.094,0.354,0.700,0.951,1.000,0.010,0.172,0.500,0.828,0.990,0.000,0.049,0.300,0.646,0.906,0.054,0.006,0.146,0.448,0.758
0.758,0.906,0.990,1.000,0.946,0.448,0.646,0.828,0.951,0.994,0.146,0.300,0.500,0.700,0.854,0.006,0.049,0.172,0.354,0.552,0.054,0.000,0.010,0.094,0.242
0.973,0.993,1.000,0.993,0.973,0.844,0.859,0.864,0.859,0.844,0.500,0.500,0.500,0.500,0.500,0.156,0.141,0.136,0.141,0.156,0.027,0.007,0.000,0.007,0.027
0.946,1.000,0.990,0.906,0.758,0.994,0.951,0.828,0.646,0.448,0.854,0.700,0.500,0.300,0.146,0.552,0.354,0.172,0.049,0.006,0.242,0.094,0.010,0.000,0.054
0.946,0.994,0.854,0.552,0.242,1.000,0.951,0.700,0.354,0.094,0.990,0.828,0.500,0.172,0.010,0.906,0.646,0.300,0.049,0.000,0.758,0.448,0.146,0.006,0.054
0.014,0.207,0.500,0.793,0.986,0.003,0.201,0.500,0.799,0.997,0.000,0.198,0.500,0.802,1.000,0.003,0.201,0.500,0.799,0.997,0.014,0.207,0.500,0.793,0.986
0.303,0.538,0.769,0.935,1.000,0.180,0.395,0.643,0.856,0.979,0.082,0.258,0.500,0.742,0.918,0.021,0.144,0.357,0.605,0.820,0.000,0.065,0.231,0.462,0.697
0.697,0.820,0.918,0.979,1.000,0.462,0.605,0.742,0.856,0.935,0.231,0.357,0.500,0.643,0.769,0.065,0.144,0.258,0.395,0.538,0.000,0.021,0.082,0.180,0.303
0.986,0.997,1.000,0.997,0.986,0.793,0.799,0.802,0.799,0.793,0.500,0.500,0.500,0.500,0.500,0.207,0.201,0.198,0.201,0.207,0.014,0.003,0.000,0.003,0.014
1.000,0.979,0.918,0.820,0.697,0.935,0.856,0.742,0.605,0.462,0.769,0.643,0.500,0.357,0.231,0.538,0.395,0.258,0.144,0.065,0.303,0.180,0.082,0.021,0.000
1.000,0.935,0.769,0.538,0.303,0.979,0.856,0.643,0.395,0.180,0.918,0.742,0.500,0.258,0.082,0.820,0.605,0.357,0.144,0.021,0.697,0.462,0.231,0.065,0.000
0.972,0.476,0.077,0.476,0.972,0.993,0.454,0.020,0.454,0.993,1.000,0.446,0.000,0.446,1.000,0.993,0.454,0.020,0.454,0.993,0.972,0.476,0.077,0.476,0.972
0.336,0.099,0.449,0.908,0.991,0.595,0.100,0.136,0.671,1.000,0.861,0.340,0.000,0.340,0.861,1.000,0.671,0.136,0.100,0.595,0.991,0.908,0.449,0.099,0.336
0.336,0.595,0.861,1.000,0.991,0.099,0.100,0.340,0.671,0.908,0.449,0.136,0.000,0.136,0.449,0.908,0.671,0.340,0.100,0.099,0.991,1.000,0.861,0.595,0.336
0.972,0.993,1.000,0.993,0.972,0.476,0.454,0.446,0.454,0.476,0.077,0.020,0.000,0.020,0.077,0.476,0.454,0.446,0.454,0.476,0.972,0.993,1.000,0.993,0.972
